datum,artikel_id,menge
2026-05-26,FK-002,2
2026-05-26,FK-007,2
2026-05-26,FK-011,5
2026-05-26,FK-015,6
2026-05-26,FK-019,1
2026-05-26,NM-001,3
2026-05-26,NM-003,4
2026-05-26,NM-005,2
2026-05-26,NU-001,6
2026-05-26,NU-002,10
2026-05-26,NU-005,4
2026-05-26,NU-007,9
2026-05-26,NU-011,3
2026-05-26,NU-019,1
2026-05-26,TF-001,3
2026-05-26,TF-002,8
2026-05-26,TF-004,9
2026-05-26,TF-006,5
2026-05-26,TF-009,5
2026-05-26,TF-013,3
2026-05-26,TF-018,2
2026-05-27,FK-002,2
2026-05-27,FK-007,2
2026-05-27,FK-011,5
2026-05-27,FK-015,6
2026-05-27,FK-019,1
2026-05-27,NM-001,3
2026-05-27,NM-003,4
2026-05-27,NM-005,2
2026-05-27,NU-001,6
2026-05-27,NU-002,10
2026-05-27,NU-005,4
2026-05-27,NU-007,9
2026-05-27,NU-011,3
2026-05-27,NU-019,1
2026-05-27,TF-001,3
2026-05-27,TF-002,8
2026-05-27,TF-004,9
2026-05-27,TF-006,5
2026-05-27,TF-009,5
2026-05-27,TF-013,3
2026-05-27,TF-018,2
2026-05-28,FK-002,2
2026-05-28,FK-007,2
2026-05-28,FK-011,5
2026-05-28,FK-015,6
2026-05-28,FK-019,1
2026-05-28,NM-001,3
2026-05-28,NM-003,4
2026-05-28,NM-005,2
2026-05-28,NU-001,6
2026-05-28,NU-002,11
2026-05-28,NU-005,4
2026-05-28,NU-007,10
2026-05-28,NU-011,3
2026-05-28,NU-019,1
2026-05-28,TF-001,3
2026-05-28,TF-002,9
2026-05-28,TF-004,10
2026-05-28,TF-006,5
2026-05-28,TF-009,5
2026-05-28,TF-013,3
2026-05-28,TF-018,2
2026-05-29,FK-002,2
2026-05-29,FK-007,2
2026-05-29,FK-011,6
2026-05-29,FK-015,6
2026-05-29,FK-019,1
2026-05-29,NM-001,3
2026-05-29,NM-003,4
2026-05-29,NM-005,2
2026-05-29,NM-008,1
2026-05-29,NU-001,7
2026-05-29,NU-002,11
2026-05-29,NU-005,5
2026-05-29,NU-007,10
2026-05-29,NU-011,3
2026-05-29,NU-014,1
2026-05-29,NU-019,1
2026-05-29,TF-001,3
2026-05-29,TF-002,9
2026-05-29,TF-004,10
2026-05-29,TF-006,6
2026-05-29,TF-009,6
2026-05-29,TF-013,3
2026-05-29,TF-018,2
2026-05-30,FK-002,2
2026-05-30,FK-007,2
2026-05-30,FK-011,5
2026-05-30,FK-015,5
2026-05-30,FK-019,1
2026-05-30,NM-001,3
2026-05-30,NM-003,3
2026-05-30,NM-005,1
2026-05-30,NU-001,6
2026-05-30,NU-002,9
2026-05-30,NU-005,4
2026-05-30,NU-007,8
2026-05-30,NU-011,3
2026-05-30,NU-019,1
2026-05-30,TF-001,3
2026-05-30,TF-002,7
2026-05-30,TF-004,8
2026-05-30,TF-006,5
2026-05-30,TF-009,5
2026-05-30,TF-013,2
2026-05-30,TF-018,2
2026-05-31,FK-002,2
2026-05-31,FK-007,2
2026-05-31,FK-011,4
2026-05-31,FK-015,5
2026-05-31,FK-019,1
2026-05-31,NM-001,3
2026-05-31,NM-003,3
2026-05-31,NM-005,1
2026-05-31,NU-001,5
2026-05-31,NU-002,9
2026-05-31,NU-005,3
2026-05-31,NU-007,8
2026-05-31,NU-011,3
2026-05-31,NU-019,1
2026-05-31,TF-001,3
2026-05-31,TF-002,7
2026-05-31,TF-004,8
2026-05-31,TF-006,4
2026-05-31,TF-009,4
2026-05-31,TF-013,2
2026-05-31,TF-018,2
2026-06-01,FK-002,2
2026-06-01,FK-007,2
2026-06-01,FK-011,5
2026-06-01,FK-015,6
2026-06-01,FK-019,1
2026-06-01,NM-001,3
2026-06-01,NM-003,4
2026-06-01,NM-005,2
2026-06-01,NU-001,6
