artikel_id,artikelname,kategorie,bestand_stueck,ek_preis_eur,vk_preis_eur,vpe_stueck,lieferzeit_tage
TF-001,Medjool Datteln Premium 1kg,Trockenfruechte,40,8.90,19.90,12,14
NU-014,Pekannusskerne 500g,Nuesse,6,4.20,9.90,6,10
FK-021,Trueffel-Honig 250g,Feinkost,90,18.50,39.90,6,21
NM-008,Macadamia-Mus 350g,Nussmus,60,12.90,26.90,6,14
TF-025,Aprikosen soft 1kg,Trockenfruechte,55,6.40,14.90,12,10
NU-002,Cashewkerne natur 1kg,Nuesse,120,11.20,22.90,10,7
TF-004,Sultaninen 1kg,Trockenfruechte,75,3.80,8.90,12,5
NM-003,Erdnussmus crunchy 500g,Nussmus,48,3.60,7.90,12,10
FK-011,Olivenoel Manaki 500ml,Feinkost,90,9.40,21.90,6,14
NU-007,Mandeln blanchiert 1kg,Nuesse,160,10.50,21.90,10,7
TF-009,Feigen getrocknet 500g,Trockenfruechte,100,4.90,11.90,12,10
FK-015,Tahini Sesammus 500g,Feinkost,130,5.20,11.90,6,12
NU-001,Walnusskerne hell 1kg,Nuesse,210,12.80,24.90,10,7
TF-002,Datteln Deglet Nour 1kg,Trockenfruechte,300,4.10,9.90,12,10
NM-001,Mandelmus weiss 500g,Nussmus,140,7.90,16.90,6,14
NU-005,Haselnusskerne 1kg,Nuesse,180,9.60,19.90,10,7
TF-006,Cranberries gesuesst 500g,Trockenfruechte,220,3.40,8.50,12,5
FK-002,Aceto Balsamico 250ml,Feinkost,95,6.80,15.90,6,21
NU-011,Pistazien geroestet 500g,Nuesse,130,13.50,27.90,6,12
TF-013,Mango-Streifen 250g,Trockenfruechte,160,5.60,12.90,12,14
NM-005,Haselnussmus 350g,Nussmus,85,8.40,17.90,6,14
FK-007,Meersalz Flocken 200g,Feinkost,110,2.90,7.90,12,10
NU-019,Paranuesse 500g,Nuesse,70,7.20,15.90,6,12
TF-018,Pflaumen entsteint 1kg,Trockenfruechte,140,4.60,10.90,12,10
FK-019,Harissa Paste 200g,Feinkost,65,3.90,9.50,12,14
